Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,086071,2013,04,09,14.1,1,N
IDCJAC0011,086071,2013,04,10,12.3,1,N
IDCJAC0011,086071,2013,04,11,14.6,1,N
IDCJAC0011,086071,2013,04,12,12,1,N
IDCJAC0011,086071,2013,04,13,15.3,1,N
IDCJAC0011,086071,2013,04,14,16.4,1,N
IDCJAC0011,086071,2013,04,15,13.8,1,N
IDCJAC0011,086071,2013,04,16,11.5,1,N
IDCJAC0011,086071,2013,04,17,11.6,1,N
IDCJAC0011,086071,2013,04,18,11.1,1,N
IDCJAC0011,086071,2013,04,19,9.8,1,N
IDCJAC0011,086071,2013,04,20,9.8,1,N
IDCJAC0011,086071,2013,04,21,6.9,1,N
IDCJAC0011,086071,2013,04,22,10.9,1,N
IDCJAC0011,086071,2013,04,23,12,1,N
IDCJAC0011,086071,2013,04,24,13.6,1,N
IDCJAC0011,086071,2013,04,25,10.8,1,N
IDCJAC0011,086071,2013,04,26,13.9,1,N
IDCJAC0011,086071,2013,04,27,14.7,1,N
IDCJAC0011,086071,2013,04,28,16.6,1,N
IDCJAC0011,086071,2013,04,29,10.6,1,N
IDCJAC0011,086071,2013,04,30,7.9,1,N
IDCJAC0011,086071,2013,05,01,9.3,1,Y
IDCJAC0011,086071,2013,05,02,7,1,Y
IDCJAC0011,086071,2013,05,03,9.3,1,Y
IDCJAC0011,086071,2013,05,04,11.3,1,Y
IDCJAC0011,086071,2013,05,05,11.3,1,Y
IDCJAC0011,086071,2013,05,06,5.7,1,Y
IDCJAC0011,086071,2013,05,07,7.2,1,Y
IDCJAC0011,086071,2013,05,08,10.5,1,Y
IDCJAC0011,086071,2013,05,09,13.5,1,Y
IDCJAC0011,086071,2013,05,10,12.7,1,Y
IDCJAC0011,086071,2013,05,11,13.5,1,Y
IDCJAC0011,086071,2013,05,12,16.5,1,Y
IDCJAC0011,086071,2013,05,13,14.3,1,Y
IDCJAC0011,086071,2013,05,14,7.8,1,Y
IDCJAC0011,086071,2013,05,15,9.3,1,Y
IDCJAC0011,086071,2013,05,16,10.3,1,Y
IDCJAC0011,086071,2013,05,17,9.8,1,Y
IDCJAC0011,086071,2013,05,18,10,1,Y
IDCJAC0011,086071,2013,05,19,9.1,1,Y
IDCJAC0011,086071,2013,05,20,10.7,1,Y
IDCJAC0011,086071,2013,05,21,7.4,1,Y
IDCJAC0011,086071,2013,05,22,6.3,1,Y
IDCJAC0011,086071,2013,05,23,5.6,1,Y
IDCJAC0011,086071,2013,05,24,4.9,1,Y
IDCJAC0011,086071,2013,05,25,7.9,1,Y
IDCJAC0011,086071,2013,05,26,11.1,1,Y
IDCJAC0011,086071,2013,05,27,11.7,1,Y
IDCJAC0011,086071,2013,05,28,5.2,1,Y
IDCJAC0011,086071,2013,05,29,7.2,1,Y
IDCJAC0011,086071,2013,05,30,12.1,1,Y
IDCJAC0011,086071,2013,05,31,14,1,Y
IDCJAC0011,086071,2013,06,01,13.7,1,Y
IDCJAC0011,086071,2013,06,02,10.3,1,Y
IDCJAC0011,086071,2013,06,03,10.3,1,Y
IDCJAC0011,086071,2013,06,04,11.8,1,Y
IDCJAC0011,086071,2013,06,05,12,1,Y
IDCJAC0011,086071,2013,06,06,12.5,1,Y
IDCJAC0011,086071,2013,06,07,10.9,1,Y
IDCJAC0011,086071,2013,06,08,4.9,1,Y
IDCJAC0011,086071,2013,06,09,6.1,1,Y
IDCJAC0011,086071,2013,06,10,6.8,1,Y
IDCJAC0011,086071,2013,06,11,9.7,1,Y
IDCJAC0011,086071,2013,06,12,9.4,1,Y
IDCJAC0011,086071,2013,06,13,10.8,1,Y
IDCJAC0011,086071,2013,06,14,11,1,Y
IDCJAC0011,086071,2013,06,15,9.7,1,Y
IDCJAC0011,086071,2013,06,16,9.3,1,Y
IDCJAC0011,086071,2013,06,17,7.2,1,Y
IDCJAC0011,086071,2013,06,18,8.5,1,Y
IDCJAC0011,086071,2013,06,19,4.8,1,Y
IDCJAC0011,086071,2013,06,20,2.3,1,Y
IDCJAC0011,086071,2013,06,21,3.2,1,Y
IDCJAC0011,086071,2013,06,22,2.9,1,Y
IDCJAC0011,086071,2013,06,23,1.5,1,Y
IDCJAC0011,086071,2013,06,24,2.1,1,Y
IDCJAC0011,086071,2013,06,25,4,1,Y
IDCJAC0011,086071,2013,06,26,2.9,1,Y
IDCJAC0011,086071,2013,06,27,4.7,1,Y
IDCJAC0011,086071,2013,06,28,6.7,1,Y
IDCJAC0011,086071,2013,06,29,6.7,1,Y
IDCJAC0011,086071,2013,06,30,5.4,1,Y
IDCJAC0011,086071,2013,07,01,7.4,1,Y
IDCJAC0011,086071,2013,07,02,12.7,1,Y
IDCJAC0011,086071,2013,07,03,9.9,1,Y
IDCJAC0011,086071,2013,07,04,9.6,1,Y
IDCJAC0011,086071,2013,07,05,9,1,Y
IDCJAC0011,086071,2013,07,06,9.4,1,Y
IDCJAC0011,086071,2013,07,07,6.3,1,Y
IDCJAC0011,086071,2013,07,08,4.3,1,Y
IDCJAC0011,086071,2013,07,09,3.1,1,Y
IDCJAC0011,086071,2013,07,10,3.1,1,Y
IDCJAC0011,086071,2013,07,11,4.2,1,Y
IDCJAC0011,086071,2013,07,12,5.9,1,Y
IDCJAC0011,086071,2013,07,13,8,1,Y
IDCJAC0011,086071,2013,07,14,10.8,1,Y
IDCJAC0011,086071,2013,07,15,12.5,1,Y
IDCJAC0011,086071,2013,07,16,10.6,1,Y
IDCJAC0011,086071,2013,07,17,10.5,1,Y
IDCJAC0011,086071,2013,07,18,12.9,1,Y
IDCJAC0011,086071,2013,07,19,14.3,1,Y
IDCJAC0011,086071,2013,07,20,7.9,1,Y
IDCJAC0011,086071,2013,07,21,5.7,1,Y
IDCJAC0011,086071,2013,07,22,6.4,1,Y
IDCJAC0011,086071,2013,07,23,8,1,Y
IDCJAC0011,086071,2013,07,24,10.6,1,Y
IDCJAC0011,086071,2013,07,25,4.1,1,Y
IDCJAC0011,086071,2013,07,26,7.8,1,Y
IDCJAC0011,086071,2013,07,27,9.3,1,Y
IDCJAC0011,086071,2013,07,28,10.5,1,Y
IDCJAC0011,086071,2013,07,29,12.2,1,Y
IDCJAC0011,086071,2013,07,30,10.3,1,Y
IDCJAC0011,086071,2013,07,31,3.6,1,Y
IDCJAC0011,086071,2013,08,01,5.2,1,Y
IDCJAC0011,086071,2013,08,02,7.7,1,Y
IDCJAC0011,086071,2013,08,03,7.2,1,Y
IDCJAC0011,086071,2013,08,04,8.3,1,Y
IDCJAC0011,086071,2013,08,05,9.4,1,Y
IDCJAC0011,086071,2013,08,06,11,1,Y
IDCJAC0011,086071,2013,08,07,6.9,1,Y
IDCJAC0011,086071,2013,08,08,7,1,Y
IDCJAC0011,086071,2013,08,09,8.3,1,Y
IDCJAC0011,086071,2013,08,10,8.8,1,Y
IDCJAC0011,086071,2013,08,11,8.4,1,Y
IDCJAC0011,086071,2013,08,12,10.5,1,Y
IDCJAC0011,086071,2013,08,13,8.4,1,Y
IDCJAC0011,086071,2013,08,14,10.7,1,Y
IDCJAC0011,086071,2013,08,15,7.4,1,Y
IDCJAC0011,086071,2013,08,16,10.5,1,Y
IDCJAC0011,086071,2013,08,17,9.4,1,Y
IDCJAC0011,086071,2013,08,18,10.9,1,Y
IDCJAC0011,086071,2013,08,19,7.6,1,Y
IDCJAC0011,086071,2013,08,20,5.3,1,Y
IDCJAC0011,086071,2013,08,21,6.8,1,Y
IDCJAC0011,086071,2013,08,22,9.4,1,Y
IDCJAC0011,086071,2013,08,23,11.1,1,Y
IDCJAC0011,086071,2013,08,24,10.3,1,Y
IDCJAC0011,086071,2013,08,25,11.5,1,Y
IDCJAC0011,086071,2013,08,26,10.9,1,Y
IDCJAC0011,086071,2013,08,27,9.1,1,Y
IDCJAC0011,086071,2013,08,28,11.3,1,Y
IDCJAC0011,086071,2013,08,29,13.9,1,Y
IDCJAC0011,086071,2013,08,30,14.6,1,Y
IDCJAC0011,086071,2013,08,31,10.6,1,Y
IDCJAC0011,086071,2013,09,01,14.5,1,N
IDCJAC0011,086071,2013,09,02,14.8,1,N
IDCJAC0011,086071,2013,09,03,10.6,1,N
IDCJAC0011,086071,2013,09,04,14.2,1,N
IDCJAC0011,086071,2013,09,05,19.7,1,N
IDCJAC0011,086071,2013,09,06,11.8,1,N
IDCJAC0011,086071,2013,09,07,8.8,1,N
IDCJAC0011,086071,2013,09,08,8.8,1,N
IDCJAC0011,086071,2013,09,09,11.5,1,N
IDCJAC0011,086071,2013,09,10,11.9,1,N
IDCJAC0011,086071,2013,09,11,11.2,1,N
IDCJAC0011,086071,2013,09,12,8.5,1,N
IDCJAC0011,086071,2013,09,13,3.9,1,N
IDCJAC0011,086071,2013,09,14,7.8,1,N
IDCJAC0011,086071,2013,09,15,10.4,1,N
IDCJAC0011,086071,2013,09,16,13,1,N
IDCJAC0011,086071,2013,09,17,12,1,N
IDCJAC0011,086071,2013,09,18,13.1,1,N
IDCJAC0011,086071,2013,09,19,10.2,1,N
IDCJAC0011,086071,2013,09,20,10.3,1,N
IDCJAC0011,086071,2013,09,21,6.4,1,N
IDCJAC0011,086071,2013,09,22,11.2,1,N
IDCJAC0011,086071,2013,09,23,9.9,1,N
IDCJAC0011,086071,2013,09,24,14.9,1,N
IDCJAC0011,086071,2013,09,25,16.5,1,N
IDCJAC0011,086071,2013,09,26,11.6,1,N
IDCJAC0011,086071,2013,09,27,7.2,1,N
IDCJAC0011,086071,2013,09,28,8.8,1,N
IDCJAC0011,086071,2013,09,29,7.6,1,N
IDCJAC0011,086071,2013,09,30,14.3,1,N
IDCJAC0011,086071,2013,10,01,11.6,1,Y
IDCJAC0011,086071,2013,10,02,9.8,1,Y
IDCJAC0011,086071,2013,10,03,8.2,1,Y
IDCJAC0011,086071,2013,10,04,5.8,1,Y
IDCJAC0011,086071,2013,10,05,12.8,1,Y
IDCJAC0011,086071,2013,10,06,13.5,1,Y
IDCJAC0011,086071,2013,10,07,9.3,1,Y
IDCJAC0011,086071,2013,10,08,11,1,Y
IDCJAC0011,086071,2013,10,09,13.6,1,Y
IDCJAC0011,086071,2013,10,10,16.4,1,Y
IDCJAC0011,086071,2013,10,11,10,1,Y
IDCJAC0011,086071,2013,10,12,11.3,1,Y
IDCJAC0011,086071,2013,10,13,12.3,1,Y
IDCJAC0011,086071,2013,10,14,7.6,1,Y
